,dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
30,iris,1,distance,euclidean,8,0.9454666666666668,0.9455790675244456,0.9454666666666666,0.9454987929365166
31,iris,1,distance,euclidean,9,0.9450666666666668,0.9451750164758512,0.9450666666666666,0.9450905689364829
32,iris,1,sqrt-order,manhattan,2,0.9318,0.9322270916852242,0.9318,0.931769902736374
33,iris,1,sqrt-order,manhattan,3,0.9322666666666664,0.9324949375306458,0.9322666666666668,0.9322515762353972
34,iris,1,sqrt-order,manhattan,4,0.9328,0.9329589266289434,0.9328,0.9327896622704436
35,iris,1,sqrt-order,manhattan,5,0.9301333333333331,0.9302850897335512,0.9301333333333334,0.930122527703778
36,iris,1,sqrt-order,manhattan,6,0.9285333333333332,0.928689348303424,0.9285333333333337,0.9285229571856746
37,iris,1,sqrt-order,manhattan,7,0.9304,0.930520188651586,0.9304,0.93039201117369
38,iris,1,sqrt-order,manhattan,8,0.9294666666666666,0.9295967676814316,0.9294666666666668,0.9294578245019379
39,iris,1,sqrt-order,manhattan,9,0.9285333333333332,0.9286551879726248,0.9285333333333337,0.9285251051075496
40,iris,1,sqrt-order,euclidean,2,0.9383333333333336,0.9391045743547568,0.9383333333333334,0.9384126976960728
41,iris,1,sqrt-order,euclidean,3,0.9414,0.9417885042984656,0.9414,0.941471065172998
42,iris,1,sqrt-order,euclidean,4,0.9442666666666666,0.9445141108105664,0.9442666666666666,0.944313384426306
43,iris,1,sqrt-order,euclidean,5,0.9439333333333334,0.9441257771468532,0.9439333333333336,0.9439782102942904
44,iris,1,sqrt-order,euclidean,6,0.9444,0.9445812919168636,0.9444,0.9444477211829546
45,iris,1,sqrt-order,euclidean,7,0.9450666666666668,0.945173058197638,0.9450666666666666,0.9450916043104912
46,iris,1,sqrt-order,euclidean,8,0.9448666666666669,0.9449979259636618,0.9448666666666669,0.9448991375964004
47,iris,1,sqrt-order,euclidean,9,0.9457333333333336,0.9458183541380196,0.9457333333333334,0.94573789278049
48,iris,2,uniform,manhattan,2,0.9260666666666668,0.9302383461717059,0.9260666666666666,0.9257453991524875
49,iris,2,uniform,manhattan,3,0.9252666666666668,0.9285681885655936,0.9252666666666668,0.9250117710544208
50,iris,2,uniform,manhattan,4,0.9295333333333332,0.9319964644558556,0.9295333333333332,0.9293579238873249
51,iris,2,uniform,manhattan,5,0.9298,0.9321338194128366,0.9297999999999998,0.9296368972260156
52,iris,2,uniform,manhattan,6,0.9297999999999996,0.9320318325667344,0.9298,0.9296439031646382
53,iris,2,uniform,manhattan,7,0.9317333333333332,0.9337058459808616,0.9317333333333332,0.9316010204827688
54,iris,2,uniform,manhattan,8,0.9310666666666668,0.9330178857614128,0.9310666666666666,0.9309343484680656
55,iris,2,uniform,manhattan,9,0.9324666666666668,0.9343210384532141,0.9324666666666668,0.9323435172569864
56,iris,2,uniform,euclidean,2,0.9246,0.9301815237784395,0.9246,0.9242240108942203
57,iris,2,uniform,euclidean,3,0.9336666666666666,0.936873844168232,0.9336666666666668,0.9335328526742932
58,iris,2,uniform,euclidean,4,0.9364666666666668,0.9388473528122528,0.9364666666666668,0.9363852674176868
59,iris,2,uniform,euclidean,5,0.9409333333333336,0.9426336818946754,0.9409333333333332,0.9409050904663254
60,iris,2,uniform,euclidean,6,0.9428666666666664,0.9441874049473508,0.9428666666666669,0.9428344473085736
