n-folds,acc_mean,prec_mean,rec_mean,f1_mean
2,0.718,0.691,0.667,0.672
3,0.722,0.695,0.672,0.677
4,0.723,0.696,0.674,0.679
5,0.724,0.697,0.675,0.68
6,0.724,0.698,0.676,0.681
7,0.725,0.698,0.676,0.682
8,0.725,0.698,0.677,0.682
9,0.725,0.699,0.677,0.682
