n-folds,acc_mean,prec_mean,rec_mean,f1_mean
2,0.96,0.959,0.965,0.961
3,0.963,0.962,0.969,0.964
4,0.964,0.964,0.97,0.965
5,0.965,0.964,0.97,0.966
6,0.965,0.964,0.971,0.966
7,0.965,0.965,0.971,0.967
8,0.966,0.965,0.971,0.967
9,0.966,0.965,0.971,0.967
