n-folds,acc_mean,prec_mean,rec_mean,f1_mean
2,0.673,0.647,0.57,0.586
3,0.688,0.667,0.604,0.618
4,0.693,0.675,0.615,0.629
5,0.697,0.679,0.623,0.636
6,0.699,0.682,0.626,0.639
7,0.7,0.684,0.63,0.642
8,0.701,0.686,0.632,0.644
9,0.702,0.688,0.634,0.647
