n-folds,acc_mean,prec_mean,rec_mean,f1_mean
2,0.946,0.947,0.946,0.946
3,0.947,0.948,0.947,0.947
4,0.948,0.948,0.948,0.948
5,0.947,0.948,0.947,0.947
6,0.947,0.948,0.947,0.947
7,0.948,0.948,0.948,0.948
8,0.948,0.948,0.948,0.948
9,0.948,0.948,0.948,0.948
