dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
glass,1,distance,2,2,0.6882710280373833,0.6483884431991649,0.643657761257046,0.6418104163654132
glass,1,distance,2,3,0.7101869158878508,0.6741683692725148,0.6781023659902169,0.6726248084226554
glass,1,distance,2,4,0.718878504672897,0.6846922373469346,0.6901844097140617,0.6839816473834058
glass,1,distance,2,5,0.7241121495327101,0.6880394566336757,0.6944186665607345,0.6875876879200313
glass,1,distance,2,6,0.725467289719626,0.6889585939871119,0.6979078689272721,0.689997867842264
glass,1,distance,2,7,0.7262616822429909,0.6905228244254279,0.699579715376929,0.6916881361765916
glass,1,distance,2,8,0.7293457943925234,0.6926582461124785,0.703149667577953,0.6945232313580478
glass,1,distance,2,9,0.7310280373831778,0.6950617106636665,0.7062669864554939,0.697102337300416
glass,1,sqrt-order,1,2,0.705,0.6685053522381142,0.6652808768597175,0.662197334540553
glass,1,sqrt-order,1,3,0.7132242990654205,0.6744409865623726,0.6844925124004337,0.6764330471191715
glass,1,sqrt-order,1,4,0.7233177570093459,0.6854966189542586,0.6917700873080397,0.6862268554967799
glass,1,sqrt-order,1,5,0.7269158878504675,0.6874123281502813,0.6959737439657638,0.6893479583092251
glass,1,sqrt-order,1,6,0.727570093457944,0.6906031315387732,0.696359275687876,0.6912501724773207
glass,1,sqrt-order,1,7,0.730747663551402,0.6947567072252618,0.7030181790183925,0.6967707318212865
glass,1,sqrt-order,1,8,0.7314485981308411,0.6951589096712742,0.7031044491244928,0.6970824506084429
glass,1,sqrt-order,1,9,0.7318224299065421,0.6958667144766938,0.7038375466804525,0.6979628884814122
glass,1,sqrt-order,2,2,0.6872429906542056,0.6486111899341315,0.6467042345053181,0.6436106253823499
glass,1,sqrt-order,2,3,0.7119158878504674,0.6725805941522923,0.6790554536859651,0.6721263252423801
glass,1,sqrt-order,2,4,0.7168691588785046,0.678372960628122,0.6841648576613079,0.6776222309964554
glass,1,sqrt-order,2,5,0.7225233644859813,0.686479013491238,0.6951838885149978,0.6872704773686261
glass,1,sqrt-order,2,6,0.7276635514018692,0.6898365959415176,0.6989285261423352,0.690943107498231
glass,1,sqrt-order,2,7,0.7268224299065422,0.6894264326815067,0.6997652175331794,0.6912856425930797
glass,1,sqrt-order,2,8,0.7298130841121497,0.6930970928018113,0.7040364560935981,0.6951345361903153
