dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
iris,1,sqrt-order,1,3,0.9501333333333335,0.9504113749622825,0.9501333333333332,0.9501186138683833
iris,1,sqrt-order,1,4,0.9506666666666664,0.9508920596384354,0.9506666666666667,0.950654843480674
iris,1,sqrt-order,1,5,0.9497333333333333,0.9499557941521137,0.9497333333333332,0.94972213926888
iris,1,sqrt-order,1,6,0.9525333333333333,0.9527018023686769,0.9525333333333333,0.9525253691732163
iris,1,sqrt-order,1,7,0.9506666666666667,0.950883756878857,0.9506666666666664,0.9506561539677337
iris,1,sqrt-order,1,8,0.9526,0.9527304042762974,0.9525999999999999,0.9525942316838566
iris,1,sqrt-order,1,9,0.9519333333333333,0.952115841556754,0.9519333333333333,0.9519245210112461
iris,1,sqrt-order,2,2,0.9526666666666666,0.9529607992027574,0.9526666666666666,0.9526518740489772
iris,1,sqrt-order,2,3,0.9566666666666667,0.9567743105567581,0.9566666666666667,0.956662211927259
iris,1,sqrt-order,2,4,0.9559333333333335,0.9560318819662139,0.9559333333333332,0.9559289242710554
iris,1,sqrt-order,2,5,0.9582666666666665,0.9583148677419683,0.9582666666666664,0.958264706230527
iris,1,sqrt-order,2,6,0.9575999999999998,0.9576500682324209,0.9575999999999999,0.9575978395278503
iris,1,sqrt-order,2,7,0.9581333333333332,0.9581789197730374,0.9581333333333332,0.9581313862158523
iris,1,sqrt-order,2,8,0.9583999999999999,0.9584342644750208,0.9583999999999997,0.9583985597279214
iris,1,sqrt-order,2,9,0.959,0.959019554488462,0.9589999999999997,0.9589992199219921
iris,2,uniform,1,2,0.9330666666666666,0.9360673678543132,0.9330666666666665,0.9328544155442349
iris,2,uniform,1,3,0.9339999999999997,0.9361487019627123,0.9339999999999999,0.9338531042363868
iris,2,uniform,1,4,0.9352666666666666,0.9370948312581404,0.9352666666666666,0.9351490541713129
iris,2,uniform,1,5,0.9362666666666667,0.9378874907253257,0.9362666666666667,0.9361600368734745
iris,2,uniform,1,6,0.9367333333333334,0.9382096160203274,0.9367333333333333,0.9366412585495993
iris,2,uniform,1,7,0.9379999999999997,0.9393086965487442,0.938,0.9379203073621627
iris,2,uniform,1,8,0.9372000000000001,0.9385752376780875,0.9371999999999999,0.9371146438268596
iris,2,uniform,1,9,0.9375999999999999,0.9389545263294807,0.9376000000000001,0.9375153974122562
iris,2,uniform,2,2,0.942133333333333,0.9444533550453411,0.9421333333333333,0.9419850258685973
iris,2,uniform,2,3,0.9456666666666667,0.9469638237008496,0.9456666666666668,0.9455950680476817
iris,2,uniform,2,4,0.9445333333333333,0.9456796723048827,0.9445333333333333,0.9444676061709989
iris,2,uniform,2,5,0.9456000000000002,0.9464417417093259,0.9456,0.9455553126591593
iris,2,uniform,2,6,0.9461333333333335,0.9468298776914426,0.9461333333333333,0.9460966919764284
iris,2,uniform,2,7,0.9461333333333333,0.9467633844874196,0.9461333333333333,0.9461008883947056
iris,2,uniform,2,8,0.9463333333333336,0.9469600038742163,0.9463333333333332,0.9463003586269149
iris,2,uniform,2,9,0.9461333333333335,0.9467375768134548,0.9461333333333333,0.9461025473325242
iris,2,distance,1,2,0.9469999999999998,0.9474904660715974,0.9470000000000001,0.9469707383314467
iris,2,distance,1,3,0.9494666666666667,0.9496981251349319,0.9494666666666666,0.949455073668806
iris,2,distance,1,4,0.9503999999999999,0.9506628893363173,0.9504,0.9503861461455136
iris,2,distance,1,5,0.9506,0.9508415063715688,0.9506,0.9505878920295721
iris,2,distance,1,6,0.9508,0.9509988498533775,0.9508,0.9507902887916553
iris,2,distance,1,7,0.9521333333333334,0.9522979095437495,0.9521333333333333,0.9521257573851818
iris,2,distance,1,8,0.9511333333333334,0.9513321854350856,0.9511333333333333,0.9511239626394964
iris,2,distance,1,9,0.9523333333333333,0.9524730592236894,0.9523333333333333,0.9523272318908562
iris,2,distance,2,2,0.9544666666666666,0.9547734021683846,0.9544666666666668,0.9544525714479384
iris,2,distance,2,3,0.9566666666666667,0.9568290838285687,0.9566666666666667,0.9566590551365224
iris,2,distance,2,4,0.9569333333333334,0.9570066218795209,0.9569333333333331,0.9569303059957857
iris,2,distance,2,5,0.9585333333333332,0.9585793891915739,0.9585333333333331,0.9585315063559176
iris,2,distance,2,6,0.9584666666666667,0.9585001467253565,0.9584666666666666,0.9584653665366534
iris,2,distance,2,7,0.9588,0.9588229958650125,0.9588,0.9587990799079906
iris,2,distance,2,8,0.9587999999999998,0.958827536399175,0.9588,0.9587988798239566
iris,2,distance,2,9,0.9589999999999997,0.9590217474169153,0.959,0.958999099845959
iris,2,sqrt-order,1,2,0.9464666666666666,0.9469915673368047,0.9464666666666667,0.9464343223416123
iris,2,sqrt-order,1,3,0.9495999999999999,0.9499201358789257,0.9496,0.9495824102812018
iris,2,sqrt-order,1,4,0.9500666666666667,0.9503645352822783,0.9500666666666666,0.9500505521902952
iris,2,sqrt-order,1,5,0.9505999999999999,0.9508275568016354,0.9506,0.9505883981531228
iris,2,sqrt-order,1,6,0.9512666666666667,0.9514734593632126,0.9512666666666667,0.9512565876807891
iris,2,sqrt-order,1,7,0.9515333333333333,0.9517144450055806,0.9515333333333335,0.9515248697330069
iris,2,sqrt-order,1,8,0.9524666666666668,0.9526172448466564,0.9524666666666667,0.9524599382227137
iris,2,sqrt-order,1,9,0.9521999999999999,0.952350502635356,0.9521999999999999,0.9521932444220488
iris,2,sqrt-order,2,2,0.9518,0.9521618215692005,0.9517999999999999,0.9517809933683355
iris,2,sqrt-order,2,3,0.9556666666666667,0.955808486806225,0.9556666666666664,0.9556603624795321
iris,2,sqrt-order,2,4,0.9572000000000002,0.9572706470400696,0.9571999999999999,0.957196972294052
iris,2,sqrt-order,2,5,0.9569333333333333,0.9570044769189727,0.9569333333333333,0.9569304394705175
iris,2,sqrt-order,2,6,0.9574666666666667,0.9575146966478898,0.9574666666666667,0.9574646663385825
iris,2,sqrt-order,2,7,0.9579999999999999,0.9580390076543438,0.958,0.9579984131106187
iris,2,sqrt-order,2,8,0.9588,0.9588298840048839,0.9587999999999998,0.958798799815956
iris,2,sqrt-order,2,9,0.9591999999999998,0.9592183060403647,0.9591999999999999,0.9591992398599601
iris,3,uniform,1,2,0.9531999999999999,0.953552607027737,0.9532000000000002,0.9531831844607651
iris,3,uniform,1,3,0.9577333333333332,0.9579401766355109,0.9577333333333333,0.9577249281362109
iris,3,uniform,1,4,0.9586,0.9587374519498201,0.9585999999999998,0.9585946302492001
iris,3,uniform,1,5,0.9604666666666667,0.9605570251841588,0.9604666666666666,0.9604635658282034
iris,3,uniform,1,6,0.9588,0.9588878811131859,0.9588,0.9587966122900643
iris,3,uniform,1,7,0.9596666666666666,0.9597240609064137,0.9596666666666666,0.9596646730379319
iris,3,uniform,1,8,0.9598666666666665,0.9599231218128277,0.9598666666666664,0.9598647731119649
iris,3,uniform,1,9,0.9601999999999998,0.9602413290957408,0.9601999999999998,0.9601986598339703
iris,3,uniform,2,2,0.9571999999999998,0.9576002028449591,0.9571999999999999,0.9571822434497511
iris,3,uniform,2,3,0.9609333333333332,0.9611339815702915,0.9609333333333332,0.9609267162150199
iris,3,uniform,2,4,0.9615999999999998,0.9617364840266464,0.9615999999999999,0.9615953980827692
iris,3,uniform,2,5,0.9626,0.9626991581247883,0.9625999999999999,0.9625970993417869
iris,3,uniform,2,6,0.9618000000000001,0.9618903472911672,0.9617999999999999,0.9617968852503174
iris,3,uniform,2,7,0.9613333333333332,0.96137367511107,0.9613333333333333,0.9613320798266299
iris,3,uniform,2,8,0.9614,0.9614440022162709,0.9613999999999998,0.9613986597699387
