dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
iris,3,uniform,euclidean,8,0.9614,0.9614440022162708,0.9613999999999998,0.9613986597699388
iris,3,uniform,euclidean,9,0.9615333333333332,0.9615728483701168,0.9615333333333332,0.9615322065219724
iris,3,distance,manhattan,2,0.9546666666666668,0.9550895040224902,0.9546666666666666,0.9546473003765052
iris,3,distance,manhattan,3,0.958,0.958186939453684,0.958,0.9579925796566716
iris,3,distance,manhattan,4,0.9592666666666664,0.9593912015515942,0.9592666666666666,0.9592620848314276
iris,3,distance,manhattan,5,0.9599333333333332,0.9599954338145515,0.9599333333333332,0.9599311795765408
iris,3,distance,manhattan,6,0.9598,0.959854934024892,0.9597999999999998,0.9597980597419484
iris,3,distance,manhattan,7,0.9604666666666668,0.9605311088537978,0.9604666666666664,0.9604644329338896
iris,3,distance,manhattan,8,0.9598,0.9598435699920992,0.9597999999999998,0.9597985531566361
iris,3,distance,manhattan,9,0.9591999999999998,0.9592511781635732,0.9592,0.9591981196999252
iris,3,distance,euclidean,2,0.9596666666666666,0.96003828616597,0.9596666666666666,0.9596515205045076
iris,3,distance,euclidean,3,0.9606,0.9607679109533036,0.9605999999999998,0.9605942443619068
iris,3,distance,euclidean,4,0.9626666666666664,0.9627997407350056,0.9626666666666666,0.9626625587087321
iris,3,distance,euclidean,5,0.962,0.9621062780352404,0.9619999999999996,0.9619958080548118
iris,3,distance,euclidean,6,0.9617333333333332,0.9617999484409148,0.9617333333333332,0.9617313062398676
iris,3,distance,euclidean,7,0.9618666666666664,0.9619259719272324,0.9618666666666664,0.9618648129078612
iris,3,distance,euclidean,8,0.9610666666666664,0.9611092070161398,0.9610666666666664,0.9610652930359059
iris,3,distance,euclidean,9,0.9614666666666664,0.9615049335118662,0.9614666666666664,0.9614655598092822
iris,3,sqrt-order,manhattan,2,0.9544666666666666,0.9548728219748334,0.9544666666666666,0.9544473395090703
iris,3,sqrt-order,manhattan,3,0.9564666666666666,0.9566860577457738,0.9564666666666664,0.956456998009129
iris,3,sqrt-order,manhattan,4,0.9587333333333332,0.9588434178874078,0.9587333333333332,0.958729137930261
iris,3,sqrt-order,manhattan,5,0.9602,0.9602860687864888,0.9601999999999998,0.9601971661271768
iris,3,sqrt-order,manhattan,6,0.9595999999999998,0.9596702963236576,0.9595999999999998,0.9595975595158552
iris,3,sqrt-order,manhattan,7,0.9596,0.959658541365264,0.9596,0.9595979596999312
iris,3,sqrt-order,manhattan,8,0.9596666666666664,0.9597239595838336,0.9596666666666666,0.9596646463045664
iris,3,sqrt-order,manhattan,9,0.9602666666666666,0.9602996398559424,0.9602666666666664,0.9602655732239892
iris,3,sqrt-order,euclidean,2,0.9588666666666668,0.9592375386308128,0.9588666666666664,0.9588513785232368
iris,3,sqrt-order,euclidean,3,0.9607333333333332,0.9609147578941196,0.9607333333333334,0.9607269506937164
iris,3,sqrt-order,euclidean,4,0.9611333333333332,0.9612797836736576,0.9611333333333332,0.9611275222081568
iris,3,sqrt-order,euclidean,5,0.9619999999999996,0.962086921242058,0.962,0.961997039031418
iris,3,sqrt-order,euclidean,6,0.9613333333333332,0.9613786373523768,0.9613333333333332,0.9613319864999704
iris,3,sqrt-order,euclidean,7,0.9620666666666668,0.9621181865053712,0.9620666666666664,0.962065206488636
iris,3,sqrt-order,euclidean,8,0.9626666666666666,0.9627263818347852,0.9626666666666666,0.9626649197292678
iris,3,sqrt-order,euclidean,9,0.9610666666666664,0.9610975056689344,0.9610666666666664,0.9610657065706568
iris,4,uniform,manhattan,2,0.9456666666666664,0.94717057591062,0.9456666666666668,0.9455867041521392
iris,4,uniform,manhattan,3,0.9513333333333336,0.9521798826023332,0.9513333333333333,0.9512958163388684
iris,4,uniform,manhattan,4,0.9516666666666664,0.9521223862766698,0.9516666666666668,0.9516464802913632
iris,4,uniform,manhattan,5,0.9512666666666668,0.9516530479923672,0.9512666666666668,0.951248534708128
iris,4,uniform,manhattan,6,0.9523333333333334,0.9527070078053438,0.9523333333333336,0.9523174894470976
iris,4,uniform,manhattan,7,0.9518666666666666,0.9522359046901876,0.9518666666666666,0.951848650254346
iris,4,uniform,manhattan,8,0.9526666666666666,0.9529322401367392,0.9526666666666666,0.9526548994680056
iris,4,uniform,manhattan,9,0.9522,0.9524392057138922,0.9522,0.952188652505876
iris,4,uniform,euclidean,2,0.955,0.9560234923003952,0.955,0.9549556152174404
iris,4,uniform,euclidean,3,0.9559333333333332,0.9564817856405992,0.9559333333333334,0.9559060751486808
iris,4,uniform,euclidean,4,0.9575333333333332,0.9577858224638846,0.9575333333333332,0.9575226399270438
iris,4,uniform,euclidean,5,0.9583333333333336,0.958574154915084,0.9583333333333334,0.9583223009595924
iris,4,uniform,euclidean,6,0.9567999999999998,0.957090061370502,0.9568,0.956786920582866
iris,4,uniform,euclidean,7,0.9586,0.9588320764703248,0.9585999999999998,0.9585901576527572
iris,4,uniform,euclidean,8,0.9588666666666664,0.9589883405308104,0.9588666666666668,0.958862045163932
iris,4,uniform,euclidean,9,0.9592666666666668,0.95940197861654,0.9592666666666666,0.9592614447355736
iris,4,distance,manhattan,2,0.9536666666666664,0.9539484635682356,0.9536666666666668,0.9536538885617384
iris,4,distance,manhattan,3,0.9560666666666664,0.956251424968646,0.9560666666666666,0.9560584145939084
iris,4,distance,manhattan,4,0.9579333333333332,0.9580178813214856,0.9579333333333332,0.9579301124028288
iris,4,distance,manhattan,5,0.958,0.958090508577516,0.958,0.9579965989714534
iris,4,distance,manhattan,6,0.9579333333333334,0.9579921732795682,0.9579333333333332,0.9579310329272224
iris,4,distance,manhattan,7,0.9581333333333332,0.9581676991309342,0.9581333333333332,0.9581319197946204
iris,4,distance,manhattan,8,0.9589333333333332,0.9589681262248488,0.9589333333333332,0.9589320264879628
iris,4,distance,manhattan,9,0.9588666666666664,0.9589096551441086,0.9588666666666664,0.9588650730779359
iris,4,distance,euclidean,2,0.9592666666666666,0.959594416530052,0.9592666666666666,0.9592533125258971
iris,4,distance,euclidean,3,0.9611333333333332,0.9613151092360612,0.9611333333333332,0.9611270162127664
iris,4,distance,euclidean,4,0.9606,0.9607028678833008,0.9605999999999998,0.9605966857268758
iris,4,distance,euclidean,5,0.9606666666666664,0.9607327479709832,0.9606666666666664,0.960664506210525
iris,4,distance,euclidean,6,0.9600666666666668,0.9601187511535098,0.9600666666666666,0.9600646726375156
iris,4,distance,euclidean,7,0.9609333333333332,0.96097367511107,0.9609333333333332,0.96093207982663
iris,4,distance,euclidean,8,0.961,0.9610367880485527,0.961,0.9609988598859884
iris,4,distance,euclidean,9,0.961,0.9610322644442392,0.961,0.9609990598259508
iris,4,sqrt-order,manhattan,2,0.9532666666666668,0.9535907532084934,0.9532666666666668,0.9532503041635294
iris,4,sqrt-order,manhattan,3,0.9538666666666668,0.95402930211004,0.9538666666666664,0.9538599308827078
iris,4,sqrt-order,manhattan,4,0.9539333333333332,0.9540851449998032,0.9539333333333334,0.9539262023815709
iris,4,sqrt-order,manhattan,5,0.9548,0.9549569452788064,0.9548,0.9547931704408932
iris,4,sqrt-order,manhattan,6,0.9537999999999996,0.953939202474266,0.9538,0.9537937510273312
iris,4,sqrt-order,manhattan,7,0.9537333333333332,0.9538512639729644,0.9537333333333332,0.9537280905982046
iris,4,sqrt-order,manhattan,8,0.9537333333333332,0.9538428494474712,0.9537333333333332,0.9537286924850948
iris,4,sqrt-order,manhattan,9,0.9540666666666666,0.9541843525253516,0.9540666666666666,0.9540617254520888
iris,4,sqrt-order,euclidean,2,0.9605333333333336,0.960782889790736,0.9605333333333332,0.9605242199559374
iris,4,sqrt-order,euclidean,3,0.9606666666666664,0.9607918628990058,0.9606666666666668,0.9606625989529723
iris,4,sqrt-order,euclidean,4,0.9597333333333332,0.9598133994623492,0.9597333333333332,0.9597306661278372
iris,4,sqrt-order,euclidean,5,0.9604666666666668,0.960517332574055,0.9604666666666666,0.9604649931179592
iris,4,sqrt-order,euclidean,6,0.9616666666666664,0.9617295030832844,0.9616666666666668,0.9616646997072656
iris,4,sqrt-order,euclidean,7,0.9605999999999998,0.9606388745241689,0.9605999999999998,0.9605987131566296
iris,4,sqrt-order,euclidean,8,0.9606666666666668,0.9606974523142588,0.9606666666666664,0.9606656932359899
iris,4,sqrt-order,euclidean,9,0.9604666666666666,0.9604915032679738,0.9604666666666666,0.960465873253992
iris,5,uniform,manhattan,2,0.9545999999999998,0.9549036086585873,0.9546,0.954586634064412
iris,5,uniform,manhattan,3,0.9558,0.9559768646763696,0.9558,0.9557931090235904
iris,5,uniform,manhattan,4,0.9556666666666668,0.955861894767068,0.9556666666666664,0.955659056805368
iris,5,uniform,manhattan,5,0.9565333333333332,0.9567519996286482,0.9565333333333332,0.956525208933512
iris,5,uniform,manhattan,6,0.9568,0.957011695471918,0.9568,0.9567921425503404
iris,5,uniform,manhattan,7,0.9565333333333332,0.9566997839527372,0.9565333333333332,0.9565268772569528
iris,5,uniform,manhattan,8,0.9561333333333332,0.9562824690904268,0.9561333333333332,0.95612789134815
iris,5,uniform,manhattan,9,0.9553333333333334,0.9554566832525144,0.9553333333333331,0.9553287986179888
iris,5,uniform,euclidean,2,0.9631333333333336,0.9634054221964652,0.9631333333333332,0.963124215293477
iris,5,uniform,euclidean,3,0.9642666666666666,0.9646330701474513,0.9642666666666666,0.9642553797727154
iris,5,uniform,euclidean,4,0.9638,0.9640842133528496,0.9638,0.9637912283724704
iris,5,uniform,euclidean,5,0.9655333333333336,0.9657969867864592,0.9655333333333332,0.9655261096808352
iris,5,uniform,euclidean,6,0.9638666666666664,0.9642389512457014,0.9638666666666664,0.9638555134719924
iris,5,uniform,euclidean,7,0.9652666666666666,0.9655346071788689,0.9652666666666666,0.9652591622487152
iris,5,uniform,euclidean,8,0.9662666666666666,0.9665235237869144,0.9662666666666666,0.966259436907548
iris,5,uniform,euclidean,9,0.9657333333333332,0.9660272804639052,0.9657333333333332,0.9657253154352636
iris,5,distance,manhattan,2,0.9580666666666668,0.958367116652486,0.9580666666666668,0.9580558919221009
iris,5,distance,manhattan,3,0.9574666666666664,0.9576755817231832,0.9574666666666668,0.9574594773439326
iris,5,distance,manhattan,4,0.9576,0.957747146550928,0.9576,0.9575947452448328
iris,5,distance,manhattan,5,0.9583333333333331,0.9585581112916612,0.9583333333333334,0.958325735812738
iris,5,distance,manhattan,6,0.9570666666666664,0.9572137886618688,0.9570666666666668,0.9570613983686084
iris,5,distance,manhattan,7,0.9564,0.9565397100529781,0.9564,0.9563948782551642
iris,5,distance,manhattan,8,0.9586666666666666,0.9587940676270508,0.9586666666666668,0.9586624788129072
iris,5,distance,manhattan,9,0.9574,0.9575376113373428,0.9574,0.9573953517798356
iris,5,distance,euclidean,2,0.9654,0.9656999689272951,0.9654,0.965390466726308
iris,5,distance,euclidean,3,0.9632,0.9635519121960572,0.9632,0.9631884190381612
iris,5,distance,euclidean,4,0.9661333333333332,0.9664575672419684,0.9661333333333332,0.9661242220409704
iris,5,distance,euclidean,5,0.9654,0.9656989609094416,0.9654,0.9653915892580044
iris,5,distance,euclidean,6,0.9648666666666668,0.965167579158178,0.9648666666666664,0.9648580551191228
iris,5,distance,euclidean,7,0.9657333333333332,0.9660319369652564,0.9657333333333332,0.9657251830498692
iris,5,distance,euclidean,8,0.9659333333333332,0.9662421473453044,0.9659333333333332,0.965924722683512
iris,5,distance,euclidean,9,0.9660666666666664,0.96636431339121,0.9660666666666664,0.9660586029302802
iris,5,sqrt-order,manhattan,2,0.9556,0.9559058107176258,0.9556,0.9555874649345064
iris,5,sqrt-order,manhattan,3,0.9548666666666666,0.9550200564237882,0.9548666666666666,0.9548606175217836
iris,5,sqrt-order,manhattan,4,0.9546,0.9547503817835981,0.9546,0.9545938571594074
iris,5,sqrt-order,manhattan,5,0.9552666666666666,0.9553758162239254,0.9552666666666664,0.9552622588709452
iris,5,sqrt-order,manhattan,6,0.9552666666666664,0.9553824594604332,0.9552666666666666,0.955261911865288
iris,5,sqrt-order,manhattan,7,0.9563333333333334,0.9564221971503812,0.9563333333333331,0.9563298590761754
iris,5,sqrt-order,manhattan,8,0.9562,0.9562928004535144,0.9562,0.9561961791217136
iris,5,sqrt-order,manhattan,9,0.9560666666666664,0.9561568848685342,0.9560666666666664,0.9560628587226307
iris,5,sqrt-order,euclidean,2,0.9582,0.958500815482665,0.9582,0.9581873171009048
iris,5,sqrt-order,euclidean,3,0.9612666666666664,0.9614735413626276,0.9612666666666666,0.9612599500997869
iris,5,sqrt-order,euclidean,4,0.9586,0.9587573031868464,0.9586,0.9585942575043092
iris,5,sqrt-order,euclidean,5,0.9598,0.9598972668554602,0.9598,0.9597966327405051
iris,5,sqrt-order,euclidean,6,0.9603999999999998,0.9605128061481004,0.9604,0.9603961723743404
iris,5,sqrt-order,euclidean,7,0.9597333333333334,0.9598083779665714,0.9597333333333332,0.959730746151846
