dataset,n-k,voting,distance,n-folds,acc_mean,prec_mean,rec_mean,f1_mean
diabetes,1,uniform,1,2,0.6800520833333333,0.6459659905521127,0.642452537313433,0.6438314335340428
diabetes,1,uniform,1,3,0.6872916666666667,0.654228802328666,0.6508259701492537,0.6522284603670484
diabetes,1,uniform,1,4,0.689765625,0.6569381828983435,0.6533579104477613,0.6548259803706514
diabetes,1,uniform,1,5,0.6903515624999998,0.6575330832982748,0.6539550746268656,0.6554800743118824
diabetes,1,uniform,1,6,0.6900130208333333,0.6572596611780955,0.6538682089552239,0.6553195393753671
diabetes,1,uniform,1,7,0.6903124999999999,0.6576643063787735,0.6545916417910448,0.6559350548259644
diabetes,1,uniform,1,8,0.6915234375,0.6589073038570933,0.6554870149253732,0.6569594892655448
diabetes,1,uniform,1,9,0.6913151041666665,0.6586195019906217,0.655153880597015,0.6566587997917195
diabetes,1,uniform,2,2,0.6736588541666667,0.640809775348294,0.6403732835820896,0.6403856548169327
diabetes,1,uniform,2,3,0.6765364583333334,0.6436462292691104,0.6427564179104479,0.6430759718118577
diabetes,1,uniform,2,4,0.6751822916666669,0.642604580595194,0.6424695522388061,0.6424560513686204
diabetes,1,uniform,2,5,0.6796223958333333,0.6474996101867796,0.6474464179104479,0.6474145665429893
diabetes,1,uniform,2,6,0.6784765625,0.6460789821956493,0.6458479104477612,0.6459067951566353
diabetes,1,uniform,2,7,0.6780078125,0.6455420426287287,0.6452714925373135,0.6453526044095773
diabetes,1,uniform,2,8,0.6792057291666667,0.6469248769439022,0.6467195522388058,0.6467761947136492
diabetes,1,uniform,2,9,0.6801432291666667,0.6478759572348278,0.6475607462686567,0.6476765343301852
diabetes,1,distance,1,2,0.6840755208333335,0.6506442894468165,0.6473517910447762,0.6486754684018942
diabetes,1,distance,1,3,0.6864713541666667,0.6531558679994793,0.6496073134328358,0.6510651502296195
diabetes,1,distance,1,4,0.6883333333333332,0.6552495758591007,0.6516173134328359,0.6531230632871552
diabetes,1,distance,1,5,0.6892317708333333,0.656364513622664,0.6531123880597015,0.6544984173821027
diabetes,1,distance,1,6,0.6892317708333333,0.6564353645157159,0.6531989552238806,0.6545902558740164
diabetes,1,distance,1,7,0.6909765625000002,0.6584132550053777,0.6552055223880597,0.6565928722904872
diabetes,1,distance,1,8,0.6911848958333334,0.6585972118109438,0.6553482089552238,0.6567524160068092
diabetes,1,distance,1,9,0.6906640625,0.6580098551635011,0.6547750746268656,0.6561833727572093
diabetes,1,distance,2,2,0.673125,0.6405466039342036,0.6405519402985075,0.6404166140583673
diabetes,1,distance,2,3,0.6744010416666667,0.641778032981567,0.6416531343283581,0.6415902477096084
diabetes,1,distance,2,4,0.6748958333333333,0.642228306490984,0.6420937313432836,0.6420805727902499
diabetes,1,distance,2,5,0.6790755208333333,0.6466384967437816,0.6462040298507463,0.6463383877667277
diabetes,1,distance,2,6,0.6768489583333335,0.6442804194728887,0.6439832835820896,0.6440600712521465
diabetes,1,distance,2,7,0.6781640624999998,0.6456667142059805,0.6452702985074626,0.6454146289146072
diabetes,1,distance,2,8,0.6785807291666667,0.6460533716796557,0.6455902985074627,0.6457625576162765
diabetes,1,distance,2,9,0.67890625,0.6464886678127506,0.6461432835820895,0.6462768370376275
diabetes,1,sqrt-order,1,2,0.6800390624999999,0.6463061438570119,0.6434553731343283,0.6445745659662167
diabetes,1,sqrt-order,1,3,0.6879557291666667,0.654750658802202,0.6510589552238807,0.6526052579801135
diabetes,1,sqrt-order,1,4,0.6898828125,0.6570443524303623,0.6535344776119403,0.6549981351270688
diabetes,1,sqrt-order,1,5,0.6886458333333334,0.6557417426737341,0.6524892537313433,0.6538788015067146
diabetes,1,sqrt-order,1,6,0.6891666666666666,0.6562553965489751,0.6529065671641792,0.6543416917161431
diabetes,1,sqrt-order,1,7,0.690390625,0.657438648026722,0.6535782089552239,0.6552043182085652
diabetes,1,sqrt-order,1,8,0.6916927083333333,0.659179725927047,0.6559632835820896,0.6573692761921999
diabetes,1,sqrt-order,1,9,0.6928124999999998,0.6604848395905947,0.6572994029850747,0.6586916429972953
diabetes,1,sqrt-order,2,2,0.6702213541666666,0.6376244044180976,0.6378458208955223,0.6375404729621552
diabetes,1,sqrt-order,2,3,0.6746354166666668,0.6421044407188593,0.642040895522388,0.6419529379417704
diabetes,1,sqrt-order,2,4,0.6780989583333333,0.64554433318278,0.6449865671641791,0.6451628361868781
diabetes,1,sqrt-order,2,5,0.6785286458333334,0.6460946703908825,0.645714776119403,0.6458381141954682
diabetes,1,sqrt-order,2,6,0.676796875,0.6441474652457597,0.6436749253731344,0.6438369942738476
diabetes,1,sqrt-order,2,7,0.6799479166666668,0.647601360178752,0.6471164179104477,0.6473028592251336
diabetes,1,sqrt-order,2,8,0.6786328125000002,0.6464336731639427,0.6464353731343283,0.6463802903813319
diabetes,1,sqrt-order,2,9,0.6781119791666665,0.6456592073002788,0.6453774626865671,0.6454737846799073
diabetes,2,uniform,1,2,0.7022916666666668,0.6821796286547237,0.6129507462686568,0.6125656911256098
diabetes,2,uniform,1,3,0.7046874999999999,0.6869952786420183,0.6148946268656718,0.614744900050275
diabetes,2,uniform,1,4,0.7090234375,0.6950598143486445,0.6194019402985075,0.6200289728987142
diabetes,2,uniform,1,5,0.7111067708333332,0.6989142302175573,0.6214174626865672,0.622319005430813
diabetes,2,uniform,1,6,0.7126171875,0.7024132233382894,0.6226120895522388,0.6236551195817444
diabetes,2,uniform,1,7,0.7141536458333333,0.7050248462425478,0.6243461194029851,0.6257285576951205
diabetes,2,uniform,1,8,0.7148697916666665,0.7069109877249197,0.6247056716417911,0.6260871479469008
diabetes,2,uniform,1,9,0.7155078125000002,0.7081720826055176,0.6253428358208954,0.6268314426026064
diabetes,2,uniform,2,2,0.700859375,0.677148431903417,0.6143525373134328,0.6149627839770295
diabetes,2,uniform,2,3,0.7032942708333334,0.6811279105563114,0.6170882089552239,0.61825144951943
diabetes,2,uniform,2,4,0.7067708333333335,0.6876566146044749,0.6201131343283582,0.6216461181804109
diabetes,2,uniform,2,5,0.7070572916666665,0.6896755693664528,0.6190086567164178,0.6200423492243837
diabetes,2,uniform,2,6,0.7069270833333333,0.6893644751090787,0.6187701492537314,0.6197137896844283
diabetes,2,uniform,2,7,0.7086197916666667,0.6924288822089005,0.6205549253731344,0.621816147061405
diabetes,2,uniform,2,8,0.7076692708333333,0.6905263943328015,0.6197383582089553,0.62093200340879
diabetes,2,uniform,2,9,0.7084895833333333,0.6925676505249228,0.6200740298507463,0.6211948839841104
diabetes,2,distance,1,2,0.6832682291666665,0.649657074359813,0.6462816417910447,0.6476223693163172
diabetes,2,distance,1,3,0.6885807291666666,0.6555614113800964,0.6520237313432835,0.6534790639314765
diabetes,2,distance,1,4,0.6893619791666667,0.6564313241935494,0.6527882089552238,0.6543012197676309
diabetes,2,distance,1,5,0.6891796875,0.6562242714177521,0.652743432835821,0.654230134901634
diabetes,2,distance,1,6,0.6900520833333335,0.6572410715249976,0.6537683582089552,0.6552529488137333
diabetes,2,distance,1,7,0.6907942708333334,0.6582240454722796,0.6551174626865671,0.656470352409454
diabetes,2,distance,1,8,0.6913802083333335,0.6588093347049295,0.6555501492537315,0.6569722896668307
diabetes,2,distance,1,9,0.691796875,0.6592507931422448,0.6559220895522389,0.6573715806417151
diabetes,2,distance,2,2,0.6711067708333331,0.6380296448935958,0.637703432835821,0.637696347686974
diabetes,2,distance,2,3,0.6730598958333335,0.6405313101983897,0.6407270149253731,0.6405229673675685
diabetes,2,distance,2,4,0.6779557291666667,0.6457661198100791,0.6457422388059701,0.645663367166332
diabetes,2,distance,2,5,0.6762760416666665,0.6438893475829706,0.6438982089552239,0.6437995297034527
diabetes,2,distance,2,6,0.6796484375,0.6472273732897691,0.6467305970149255,0.6468992949969694
diabetes,2,distance,2,7,0.6787239583333331,0.6463727985380371,0.6461417910447761,0.6462125200467065
diabetes,2,distance,2,8,0.6794531250000001,0.6468919957215573,0.6462776119402985,0.6465396364160881
diabetes,2,distance,2,9,0.6790104166666664,0.6467192179727655,0.6465262686567164,0.6465728654106662
diabetes,2,sqrt-order,1,2,0.6819791666666666,0.6484046627617138,0.6452397014925373,0.646499369835501
diabetes,2,sqrt-order,1,3,0.6866927083333334,0.6536846931592755,0.6505477611940299,0.6518326928223312
diabetes,2,sqrt-order,1,4,0.6874869791666666,0.6543763926418918,0.6509759701492537,0.6524016660202813
diabetes,2,sqrt-order,1,5,0.6902604166666666,0.6575490734596039,0.6543179104477612,0.6556980826174977
diabetes,2,sqrt-order,1,6,0.6886979166666667,0.6556388057896149,0.6521483582089551,0.6536354886139594
diabetes,2,sqrt-order,1,7,0.6922786458333334,0.6597576606768808,0.6563613432835821,0.6578386772649054
diabetes,2,sqrt-order,1,8,0.6930078125,0.6605686996990825,0.6571464179104478,0.6586287147393506
diabetes,2,sqrt-order,1,9,0.6912369791666666,0.6586617069769971,0.6554314925373135,0.6568299027959238
