n-folds,acc_mean,prec_mean,rec_mean,f1_mean
2,"0,956","0,957","0,956","0,956"
3,"0,957","0,958","0,957","0,957"
4,"0,958","0,958","0,958","0,958"
5,"0,958","0,958","0,958","0,958"
6,"0,958","0,958","0,958","0,958"
7,"0,958","0,958","0,958","0,958"
8,"0,958","0,959","0,958","0,958"
9,"0,958","0,958","0,958","0,958"
