n-folds,acc_mean,prec_mean,rec_mean,f1_mean
2,"0,713","0,684","0,666","0,67"
3,"0,713","0,684","0,666","0,671"
4,"0,713","0,685","0,666","0,671"
5,"0,713","0,684","0,666","0,67"
6,"0,713","0,684","0,666","0,67"
7,"0,713","0,684","0,666","0,67"
8,"0,713","0,684","0,666","0,67"
9,"0,713","0,684","0,666","0,67"
