n-folds,acc_mean,prec_mean,rec_mean,f1_mean
2,"0,731","0,720","0,722","0,718"
3,"0,744","0,734","0,737","0,733"
4,"0,750","0,740","0,742","0,739"
5,"0,753","0,744","0,747","0,743"
6,"0,757","0,747","0,750","0,746"
7,"0,758","0,749","0,752","0,748"
8,"0,759","0,750","0,753","0,749"
9,"0,760","0,751","0,754","0,750"
