n-folds,acc_mean,prec_mean,rec_mean,f1_mean
2,"0,662","0,608","0,564","0,571"
3,"0,677","0,628","0,597","0,602"
4,"0,684","0,636","0,609","0,614"
5,"0,687","0,641","0,617","0,620"
6,"0,689","0,643","0,621","0,624"
7,"0,691","0,645","0,624","0,627"
8,"0,693","0,647","0,627","0,630"
9,"0,694","0,649","0,630","0,632"
